md_id,Station Name,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm)
1,BARRIE-ORO,2019,January,1,0.8,-12.4,0.9
2,BARRIE-ORO,2019,January,2,-4.8,-15.7,5.1
3,BARRIE-ORO,2019,January,3,-0.8,-6.9,0.3
4,BARRIE-ORO,2019,January,4,5.1,-6,0.2
5,BARRIE-ORO,2019,January,5,2.1,-2.8,0
6,BARRIE-ORO,2019,January,6,1.8,-11.5,0
7,BARRIE-ORO,2019,January,7,2,-11.6,5.3
8,BARRIE-ORO,2019,January,8,5,0.7,1.9
9,BARRIE-ORO,2019,January,9,1.5,-7.7,0.6
10,BARRIE-ORO,2019,January,10,-7.7,-16.8,0.4
11,BARRIE-ORO,2019,January,11,-11,-19.3,0
12,BARRIE-ORO,2019,January,12,-8.8,-16,0
13,BARRIE-ORO,2019,January,13,-8.5,-17.5,0.2
14,BARRIE-ORO,2019,January,14,-2.5,-15.8,0
15,BARRIE-ORO,2019,January,15,-0.6,-4,0.2
16,BARRIE-ORO,2019,January,16,-1.4,-18.3,1.3
17,BARRIE-ORO,2019,January,17,-6.5,-19.1,0.2
18,BARRIE-ORO,2019,January,18,N/A,N/A,N/A
19,BARRIE-ORO,2019,January,19,-16.2,-19.9,0.9
20,BARRIE-ORO,2019,January,20,-18.7,-25.4,0.2
21,BARRIE-ORO,2019,January,21,-15.4,-26.7,0
22,BARRIE-ORO,2019,January,22,-2.9,-23.8,0
23,BARRIE-ORO,2019,January,23,4.8,-3.6,18.3
24,BARRIE-ORO,2019,January,24,0.8,-7.9,0.8
25,BARRIE-ORO,2019,January,25,-4.7,-12.6,0.9
26,BARRIE-ORO,2019,January,26,-10.5,-17.9,0.2
27,BARRIE-ORO,2019,January,27,-9.4,-19.4,2.8
28,BARRIE-ORO,2019,January,28,-15.9,-22.5,1.6
29,BARRIE-ORO,2019,January,29,-6.4,-16.7,0.7
30,BARRIE-ORO,2019,January,30,-16.3,-21.3,0.2
31,BARRIE-ORO,2019,January,31,-14,-19.7,9.2
32,BARRIE-ORO,2019,February,1,-10,-20.4,0.3
33,BARRIE-ORO,2019,February,2,-2.3,-19.3,0
34,BARRIE-ORO,2019,February,3,5.7,-3,2.8
35,BARRIE-ORO,2019,February,4,9.8,1.8,7.6
36,BARRIE-ORO,2019,February,5,6.5,-10.1,0.2
37,BARRIE-ORO,2019,February,6,-5,-9.4,0.8
38,BARRIE-ORO,2019,February,7,1.9,-6.4,0.7
39,BARRIE-ORO,2019,February,8,4,-10.3,1.1
40,BARRIE-ORO,2019,February,9,-7.9,-11.1,1.1
41,BARRIE-ORO,2019,February,10,-4.8,-8.9,1.2
42,BARRIE-ORO,2019,February,11,-5.8,-13.7,1.1
43,BARRIE-ORO,2019,February,12,-7.6,-12.7,10.9
44,BARRIE-ORO,2019,February,13,-1.2,-8.1,1.2
45,BARRIE-ORO,2019,February,14,-1.1,-8.3,2
46,BARRIE-ORO,2019,February,15,2.1,-5.9,3.2
47,BARRIE-ORO,2019,February,16,-5.9,-18.7,0.2
48,BARRIE-ORO,2019,February,17,-8.5,-21.7,0.2
49,BARRIE-ORO,2019,February,18,-7.6,-18.6,0.2
50,BARRIE-ORO,2019,February,19,-6.2,-20.4,0
51,BARRIE-ORO,2019,February,20,-1.5,-20.8,1.6
52,BARRIE-ORO,2019,February,21,1.9,-3.3,0.8
53,BARRIE-ORO,2019,February,22,-0.6,-9.5,0
54,BARRIE-ORO,2019,February,23,1.2,-14.1,0
55,BARRIE-ORO,2019,February,24,5.1,-4.2,9.7
56,BARRIE-ORO,2019,February,25,-4.1,-10.6,1.8
57,BARRIE-ORO,2019,February,26,-10.6,-18.5,0.2
58,BARRIE-ORO,2019,February,27,-13.2,-20.6,1.8
59,BARRIE-ORO,2019,February,28,-8.1,-25.8,0.2
60,BARRIE-ORO,2019,March,1,-2.7,-20.7,0
61,BARRIE-ORO,2019,March,2,-2.3,-9.7,2.7
62,BARRIE-ORO,2019,March,3,-3.7,-14.9,0.2
63,BARRIE-ORO,2019,March,4,-9.7,-20.4,0.2
64,BARRIE-ORO,2019,March,5,-9.6,-18.3,1.3
65,BARRIE-ORO,2019,March,6,-10.9,-23,0.4
66,BARRIE-ORO,2019,March,7,-8.6,-20.4,0.2
67,BARRIE-ORO,2019,March,8,-2,-22.3,0
68,BARRIE-ORO,2019,March,9,-0.3,-18.4,0
69,BARRIE-ORO,2019,March,10,4.2,-2.3,9.1
70,BARRIE-ORO,2019,March,11,1.3,-4.7,0.2
71,BARRIE-ORO,2019,March,12,1,-7.3,0
72,BARRIE-ORO,2019,March,13,1.4,-6.2,2.9
73,BARRIE-ORO,2019,March,14,10.5,0,5.9
74,BARRIE-ORO,2019,March,15,7.7,-2.7,3.8
75,BARRIE-ORO,2019,March,16,-2.6,-6.6,0.5
76,BARRIE-ORO,2019,March,17,-1.5,-10,0.2
77,BARRIE-ORO,2019,March,18,-0.4,-9.8,0.2
78,BARRIE-ORO,2019,March,19,3.3,-8.5,0
79,BARRIE-ORO,2019,March,20,7.7,-5.7,0
80,BARRIE-ORO,2019,March,21,5.7,0.5,1.3
81,BARRIE-ORO,2019,March,22,0.8,-7.4,1.4
82,BARRIE-ORO,2019,March,23,0.1,-10.7,0.2
83,BARRIE-ORO,2019,March,24,6.8,-5.6,0
84,BARRIE-ORO,2019,March,25,0.3,-8.4,0
85,BARRIE-ORO,2019,March,26,2,-8.7,0
86,BARRIE-ORO,2019,March,27,7.7,-8.1,0
87,BARRIE-ORO,2019,March,28,10.7,-0.9,0
88,BARRIE-ORO,2019,March,29,6.8,-2.3,0
89,BARRIE-ORO,2019,March,30,1.5,-1.4,16.3
90,BARRIE-ORO,2019,March,31,-0.7,-6.5,2.6
91,BARRIE-ORO,2019,April,1,1,-10.6,0.2
92,BARRIE-ORO,2019,April,2,6.9,-1.1,0
93,BARRIE-ORO,2019,April,3,4.1,-3.3,0
94,BARRIE-ORO,2019,April,4,2.3,-6.7,0
95,BARRIE-ORO,2019,April,5,2.3,-6.8,0.8
96,BARRIE-ORO,2019,April,6,8.3,0.8,0
97,BARRIE-ORO,2019,April,7,12.9,2,0
98,BARRIE-ORO,2019,April,8,8.9,3.5,3.9
99,BARRIE-ORO,2019,April,9,5.2,-0.1,3.1
100,BARRIE-ORO,2019,April,10,6.1,-2.9,0
101,BARRIE-ORO,2019,April,11,1.5,-4.5,0.7
102,BARRIE-ORO,2019,April,12,15.4,1.5,0
103,BARRIE-ORO,2019,April,13,N/A,N/A,N/A
104,BARRIE-ORO,2019,April,14,1.6,-2.6,8.6
105,BARRIE-ORO,2019,April,15,5.4,-1.3,7.1
106,BARRIE-ORO,2019,April,16,10.9,-3.7,0
107,BARRIE-ORO,2019,April,17,13.5,-3.1,2.9
108,BARRIE-ORO,2019,April,18,17.6,4.8,6.9
109,BARRIE-ORO,2019,April,19,10.5,3.4,19.4
110,BARRIE-ORO,2019,April,20,7.5,3.2,8
111,BARRIE-ORO,2019,April,21,12.4,3.5,0
112,BARRIE-ORO,2019,April,22,17.9,2.1,0
113,BARRIE-ORO,2019,April,23,14,2.4,7.6
114,BARRIE-ORO,2019,April,24,8.7,-1.3,0.2
115,BARRIE-ORO,2019,April,25,16.5,-2.7,0
116,BARRIE-ORO,2019,April,26,10.6,0.5,24.2
117,BARRIE-ORO,2019,April,27,4,-1.5,1.2
118,BARRIE-ORO,2019,April,28,7.6,-3.1,0
119,BARRIE-ORO,2019,April,29,7,-4.9,2
120,BARRIE-ORO,2019,April,30,11.5,1.7,1
121,BARRIE-ORO,2019,May,1,6.4,3.8,11.3
122,BARRIE-ORO,2019,May,2,10.5,1.9,0.2
123,BARRIE-ORO,2019,May,3,10.6,5.3,7.5
124,BARRIE-ORO,2019,May,4,10.3,1,1.3
125,BARRIE-ORO,2019,May,5,19.2,-0.8,0.2
126,BARRIE-ORO,2019,May,6,23.2,2.9,0
127,BARRIE-ORO,2019,May,7,12.8,2.8,0
128,BARRIE-ORO,2019,May,8,13.2,2,0
129,BARRIE-ORO,2019,May,9,15.9,7.9,6
130,BARRIE-ORO,2019,May,10,15.6,3.2,3.5
131,BARRIE-ORO,2019,May,11,11.4,-0.5,0
132,BARRIE-ORO,2019,May,12,11.7,5.1,1.3
133,BARRIE-ORO,2019,May,13,7.2,4.4,19.7
134,BARRIE-ORO,2019,May,14,14.7,2.6,0
135,BARRIE-ORO,2019,May,15,17.9,2.5,0
136,BARRIE-ORO,2019,May,16,15.5,4.1,2.5
137,BARRIE-ORO,2019,May,17,14.9,5.7,0
138,BARRIE-ORO,2019,May,18,14.4,1.3,0
139,BARRIE-ORO,2019,May,19,21.4,7.7,4.4
140,BARRIE-ORO,2019,May,20,15.2,4.4,0.2
141,BARRIE-ORO,2019,May,21,17,3.8,0
142,BARRIE-ORO,2019,May,22,15.7,2.8,0
143,BARRIE-ORO,2019,May,23,23.3,6.1,0
144,BARRIE-ORO,2019,May,24,21,7.2,0
145,BARRIE-ORO,2019,May,25,20,8.9,6.9
146,BARRIE-ORO,2019,May,26,19.7,10.2,0
147,BARRIE-ORO,2019,May,27,20.9,5.7,0.4
148,BARRIE-ORO,2019,May,28,12.7,7.8,15.5
149,BARRIE-ORO,2019,May,29,16.1,5.7,0.2
150,BARRIE-ORO,2019,May,30,24,5.5,0
151,BARRIE-ORO,2019,May,31,18.2,4.7,17.3
152,BARRIE-ORO,2019,June,1,18.9,10.1,0
153,BARRIE-ORO,2019,June,2,16.6,5.5,0.2
154,BARRIE-ORO,2019,June,3,13.3,2.4,0
155,BARRIE-ORO,2019,June,4,11.5,2.2,4.8
156,BARRIE-ORO,2019,June,5,19.9,6.8,12.9
157,BARRIE-ORO,2019,June,6,N/A,N/A,N/A
158,BARRIE-ORO,2019,June,7,24.9,7.1,N/A
159,BARRIE-ORO,2019,June,8,24.7,9.3,N/A
160,BARRIE-ORO,2019,June,9,26.2,8.5,N/A
161,BARRIE-ORO,2019,June,10,18.8,10.4,N/A
162,BARRIE-ORO,2019,June,11,19.2,5.3,N/A
163,BARRIE-ORO,2019,June,12,22.8,4.3,N/A
164,BARRIE-ORO,2019,June,13,15.1,9.1,N/A
165,BARRIE-ORO,2019,June,14,21.6,8.8,N/A
166,BARRIE-ORO,2019,June,15,17.8,5.8,N/A
167,BARRIE-ORO,2019,June,16,19.5,3.9,N/A
168,BARRIE-ORO,2019,June,17,22.3,9.9,N/A
169,BARRIE-ORO,2019,June,18,24.5,14.3,N/A
170,BARRIE-ORO,2019,June,19,22.9,11.9,N/A
171,BARRIE-ORO,2019,June,20,20.7,14.1,N/A
172,BARRIE-ORO,2019,June,21,20.6,11.2,N/A
173,BARRIE-ORO,2019,June,22,23.5,7.5,N/A
174,BARRIE-ORO,2019,June,23,25.5,8.7,N/A
175,BARRIE-ORO,2019,June,24,24.8,9.9,N/A
176,BARRIE-ORO,2019,June,25,23.8,14.4,N/A
177,BARRIE-ORO,2019,June,26,26.1,14,N/A
178,BARRIE-ORO,2019,June,27,29.3,12.2,N/A
179,BARRIE-ORO,2019,June,28,27,13.7,N/A
180,BARRIE-ORO,2019,June,29,25.9,16.1,N/A
181,BARRIE-ORO,2019,June,30,22.5,11.9,N/A
182,BARRIE-ORO,2019,July,1,27.5,9.8,N/A
183,BARRIE-ORO,2019,July,2,26.1,14.4,N/A
184,BARRIE-ORO,2019,July,3,28.7,15.5,N/A
185,BARRIE-ORO,2019,July,4,30.3,13.1,N/A
186,BARRIE-ORO,2019,July,5,30.8,17.2,N/A
187,BARRIE-ORO,2019,July,6,29.8,18,N/A
188,BARRIE-ORO,2019,July,7,24.5,11.6,N/A
189,BARRIE-ORO,2019,July,8,25,11.3,N/A
190,BARRIE-ORO,2019,July,9,26.7,9.3,N/A
191,BARRIE-ORO,2019,July,10,28.9,12.1,N/A
192,BARRIE-ORO,2019,July,11,27.8,15.3,N/A
193,BARRIE-ORO,2019,July,12,22.2,12.9,N/A
194,BARRIE-ORO,2019,July,13,26.7,12.6,N/A
195,BARRIE-ORO,2019,July,14,23.5,11.4,N/A
196,BARRIE-ORO,2019,July,15,25.9,10.3,N/A
197,BARRIE-ORO,2019,July,16,29.9,16.8,N/A
198,BARRIE-ORO,2019,July,17,28.9,19.9,N/A
199,BARRIE-ORO,2019,July,18,27.7,19.8,N/A
200,BARRIE-ORO,2019,July,19,29.5,19.8,N/A
201,BARRIE-ORO,2019,July,20,31.8,20.8,N/A
202,BARRIE-ORO,2019,July,21,25.7,14.5,N/A
203,BARRIE-ORO,2019,July,22,23.6,13.7,N/A
204,BARRIE-ORO,2019,July,23,24.5,11.5,N/A
205,BARRIE-ORO,2019,July,24,24.6,12,N/A
206,BARRIE-ORO,2019,July,25,26.8,11.7,N/A
207,BARRIE-ORO,2019,July,26,29,11.2,N/A
208,BARRIE-ORO,2019,July,27,27.8,12.9,N/A
209,BARRIE-ORO,2019,July,28,28.1,15.9,N/A
210,BARRIE-ORO,2019,July,29,30.2,15.3,N/A
211,BARRIE-ORO,2019,July,30,26.4,13.9,N/A
212,BARRIE-ORO,2019,July,31,24.7,12.7,N/A
213,BARRIE-ORO,2019,August,1,25,9.4,N/A
214,BARRIE-ORO,2019,August,2,25.9,9.6,N/A
215,BARRIE-ORO,2019,August,3,27.4,10.5,N/A
216,BARRIE-ORO,2019,August,4,24.9,9.7,N/A
217,BARRIE-ORO,2019,August,5,27.6,8.3,N/A
218,BARRIE-ORO,2019,August,6,24.9,14.7,N/A
219,BARRIE-ORO,2019,August,7,26.2,12.8,N/A
220,BARRIE-ORO,2019,August,8,23.7,12.6,N/A
221,BARRIE-ORO,2019,August,9,23.6,10.9,N/A
222,BARRIE-ORO,2019,August,10,22.4,9,N/A
223,BARRIE-ORO,2019,August,11,26.4,10,N/A
224,BARRIE-ORO,2019,August,12,26.3,12.3,N/A
225,BARRIE-ORO,2019,August,13,26.9,11.2,N/A
226,BARRIE-ORO,2019,August,14,23.2,9.9,N/A
227,BARRIE-ORO,2019,August,15,23.2,8.4,N/A
228,BARRIE-ORO,2019,August,16,25.4,11.1,N/A
229,BARRIE-ORO,2019,August,17,24.4,13.1,N/A
230,BARRIE-ORO,2019,August,18,27.2,12.3,N/A
231,BARRIE-ORO,2019,August,19,24,9.4,N/A
232,BARRIE-ORO,2019,August,20,28.1,8.9,N/A
233,BARRIE-ORO,2019,August,21,27.6,17.4,N/A
234,BARRIE-ORO,2019,August,22,21.3,12.1,N/A
235,BARRIE-ORO,2019,August,23,20.3,8.6,N/A
236,BARRIE-ORO,2019,August,24,21.4,8.6,N/A
237,BARRIE-ORO,2019,August,25,23.3,8.7,N/A
238,BARRIE-ORO,2019,August,26,23.2,12.3,N/A
239,BARRIE-ORO,2019,August,27,20.2,16.7,N/A
240,BARRIE-ORO,2019,August,28,24.9,13.4,N/A
241,BARRIE-ORO,2019,August,29,23.5,12.9,N/A
242,BARRIE-ORO,2019,August,30,21,10,N/A
243,BARRIE-ORO,2019,August,31,19.9,8.2,N/A
244,BARRIE-ORO,2019,September,1,20.3,9.9,N/A
245,BARRIE-ORO,2019,September,2,21.4,9.6,N/A
246,BARRIE-ORO,2019,September,3,20.1,7.9,N/A
247,BARRIE-ORO,2019,September,4,20.1,7.6,N/A
248,BARRIE-ORO,2019,September,5,21.2,5.7,N/A
249,BARRIE-ORO,2019,September,6,17.2,7.7,N/A
250,BARRIE-ORO,2019,September,7,19.7,8.9,N/A
251,BARRIE-ORO,2019,September,8,16.1,5.4,N/A
252,BARRIE-ORO,2019,September,9,17.2,2.2,N/A
253,BARRIE-ORO,2019,September,10,20.6,5.6,N/A
254,BARRIE-ORO,2019,September,11,24.5,13.8,N/A
255,BARRIE-ORO,2019,September,12,19.2,12.1,N/A
256,BARRIE-ORO,2019,September,13,18.6,11.6,N/A
257,BARRIE-ORO,2019,September,14,19.8,7.4,N/A
258,BARRIE-ORO,2019,September,15,17.5,6.2,N/A
259,BARRIE-ORO,2019,September,16,19.7,8.8,N/A
260,BARRIE-ORO,2019,September,17,22.6,6.4,N/A
261,BARRIE-ORO,2019,September,18,23.2,9.8,N/A
262,BARRIE-ORO,2019,September,19,22.5,9.4,N/A
263,BARRIE-ORO,2019,September,20,23.6,10.1,N/A
264,BARRIE-ORO,2019,September,21,27.1,12.5,N/A
265,BARRIE-ORO,2019,September,22,28.4,19.4,N/A
266,BARRIE-ORO,2019,September,23,20,13.3,N/A
267,BARRIE-ORO,2019,September,24,18.3,6.2,N/A
268,BARRIE-ORO,2019,September,25,25.2,6.7,N/A
269,BARRIE-ORO,2019,September,26,18.5,5,N/A
270,BARRIE-ORO,2019,September,27,20.4,4.6,N/A
271,BARRIE-ORO,2019,September,28,18.6,7.7,N/A
272,BARRIE-ORO,2019,September,29,13.9,6,N/A
273,BARRIE-ORO,2019,September,30,17.6,9.9,N/A
274,BARRIE-ORO,2019,October,1,28.2,13.8,N/A
275,BARRIE-ORO,2019,October,2,15.6,7.3,N/A
276,BARRIE-ORO,2019,October,3,8.9,6.3,N/A
277,BARRIE-ORO,2019,October,4,9.9,-0.2,N/A
278,BARRIE-ORO,2019,October,5,13.2,-0.5,N/A
279,BARRIE-ORO,2019,October,6,19.9,6.2,N/A
280,BARRIE-ORO,2019,October,7,16.7,3.4,N/A
281,BARRIE-ORO,2019,October,8,15.4,0.9,N/A
282,BARRIE-ORO,2019,October,9,16.9,0.6,N/A
283,BARRIE-ORO,2019,October,10,17.3,2.6,N/A
284,BARRIE-ORO,2019,October,11,19.3,8.8,N/A
285,BARRIE-ORO,2019,October,12,14.3,-1.1,N/A
286,BARRIE-ORO,2019,October,13,15.4,-1.7,N/A
287,BARRIE-ORO,2019,October,14,10.4,3.2,N/A
288,BARRIE-ORO,2019,October,15,14,-1.4,N/A
289,BARRIE-ORO,2019,October,16,10.3,5.1,N/A
290,BARRIE-ORO,2019,October,17,7.3,3.5,N/A
291,BARRIE-ORO,2019,October,18,8.8,-2.4,N/A
292,BARRIE-ORO,2019,October,19,12,-2.7,N/A
293,BARRIE-ORO,2019,October,20,15.3,2.2,N/A
294,BARRIE-ORO,2019,October,21,16.2,1.3,N/A
295,BARRIE-ORO,2019,October,22,15.6,7,N/A
296,BARRIE-ORO,2019,October,23,10.8,-0.4,N/A
297,BARRIE-ORO,2019,October,24,11.7,0.4,N/A
298,BARRIE-ORO,2019,October,25,10.2,-0.2,N/A
299,BARRIE-ORO,2019,October,26,9.9,-3,N/A
300,BARRIE-ORO,2019,October,27,12.1,7.7,N/A
301,BARRIE-ORO,2019,October,28,16,1.2,N/A
302,BARRIE-ORO,2019,October,29,15.1,0.8,N/A
303,BARRIE-ORO,2019,October,30,6.6,3.5,N/A
304,BARRIE-ORO,2019,October,31,7.5,3.3,N/A
305,BARRIE-ORO,2019,November,1,3.3,0.1,N/A
306,BARRIE-ORO,2019,November,2,5.4,-0.3,N/A
307,BARRIE-ORO,2019,November,3,5.2,-2.7,N/A
308,BARRIE-ORO,2019,November,4,10.9,-1.5,N/A
309,BARRIE-ORO,2019,November,5,6.4,-0.7,N/A
310,BARRIE-ORO,2019,November,6,4,-2.7,N/A
311,BARRIE-ORO,2019,November,7,0.1,-8.2,N/A
312,BARRIE-ORO,2019,November,8,-1.6,-10.3,N/A
313,BARRIE-ORO,2019,November,9,2,-4.5,N/A
314,BARRIE-ORO,2019,November,10,4.1,-3.7,N/A
315,BARRIE-ORO,2019,November,11,-3.7,-8.5,N/A
316,BARRIE-ORO,2019,November,12,-7.6,-21.8,N/A
317,BARRIE-ORO,2019,November,13,-3.8,-24.2,N/A
318,BARRIE-ORO,2019,November,14,-1.5,-4.1,N/A
319,BARRIE-ORO,2019,November,15,1.7,-10.6,N/A
320,BARRIE-ORO,2019,November,16,-4.8,-13.8,N/A
321,BARRIE-ORO,2019,November,17,0.4,-7.5,N/A
322,BARRIE-ORO,2019,November,18,N/A,N/A,N/A
323,BARRIE-ORO,2019,November,19,2.2,-0.1,N/A
324,BARRIE-ORO,2019,November,20,5.7,-2,N/A
325,BARRIE-ORO,2019,November,21,7.6,-3.5,N/A
326,BARRIE-ORO,2019,November,22,7.3,-2.6,N/A
327,BARRIE-ORO,2019,November,23,4.5,-5.7,N/A
328,BARRIE-ORO,2019,November,24,5,-7.2,N/A
329,BARRIE-ORO,2019,November,25,6.9,-3.3,N/A
330,BARRIE-ORO,2019,November,26,9.1,-2.8,N/A
331,BARRIE-ORO,2019,November,27,6.7,2.9,N/A
332,BARRIE-ORO,2019,November,28,3.7,-5,N/A
333,BARRIE-ORO,2019,November,29,-2.7,-5.3,N/A
334,BARRIE-ORO,2019,November,30,-2.9,-8.2,N/A
335,BARRIE-ORO,2019,December,1,-4,-7.9,N/A
336,BARRIE-ORO,2019,December,2,-0.2,-14.9,N/A
337,BARRIE-ORO,2019,December,3,0.6,-16.3,N/A
338,BARRIE-ORO,2019,December,4,0.9,-2.3,N/A
339,BARRIE-ORO,2019,December,5,-2.2,-5.3,N/A
340,BARRIE-ORO,2019,December,6,-3.1,-9.4,N/A
341,BARRIE-ORO,2019,December,7,-3.5,-14.6,N/A
342,BARRIE-ORO,2019,December,8,3.5,-6,N/A
343,BARRIE-ORO,2019,December,9,7.2,1.2,N/A
344,BARRIE-ORO,2019,December,10,7.3,-13.1,N/A
345,BARRIE-ORO,2019,December,11,-4.7,-12.5,N/A
346,BARRIE-ORO,2019,December,12,-1.2,-12.2,N/A
347,BARRIE-ORO,2019,December,13,3.3,-3,N/A
348,BARRIE-ORO,2019,December,14,1,-2.7,N/A
349,BARRIE-ORO,2019,December,15,0.5,-8.1,N/A
350,BARRIE-ORO,2019,December,16,-1,-13.2,N/A
351,BARRIE-ORO,2019,December,17,-1.3,-5.6,N/A
352,BARRIE-ORO,2019,December,18,-4.5,-22.1,N/A
353,BARRIE-ORO,2019,December,19,-10.5,-24.2,N/A
354,BARRIE-ORO,2019,December,20,-6.6,-21.2,N/A
355,BARRIE-ORO,2019,December,21,-0.4,-9.9,N/A
356,BARRIE-ORO,2019,December,22,7,-8.6,N/A
357,BARRIE-ORO,2019,December,23,5.8,-2.8,N/A
358,BARRIE-ORO,2019,December,24,-1.6,-8.9,N/A
359,BARRIE-ORO,2019,December,25,-0.7,-3.3,N/A
360,BARRIE-ORO,2019,December,26,2.2,-1.3,N/A
361,BARRIE-ORO,2019,December,27,6.8,1,N/A
362,BARRIE-ORO,2019,December,28,1.8,-4,N/A
363,BARRIE-ORO,2019,December,29,-0.6,-3.5,N/A
364,BARRIE-ORO,2019,December,30,4.9,-0.8,N/A
365,BARRIE-ORO,2019,December,31,1,-1.8,N/A
366,BARRIE-ORO,2020,January,1,-0.6,-4.5,N/A
367,BARRIE-ORO,2020,January,2,4.8,-6.1,N/A
368,BARRIE-ORO,2020,January,3,4.4,-0.1,N/A
369,BARRIE-ORO,2020,January,4,0.4,-3.1,N/A
370,BARRIE-ORO,2020,January,5,-1.3,-6.1,N/A
371,BARRIE-ORO,2020,January,6,-0.2,-3.5,N/A
372,BARRIE-ORO,2020,January,7,2.3,-12.4,N/A
373,BARRIE-ORO,2020,January,8,-1.4,-14.5,N/A
374,BARRIE-ORO,2020,January,9,0.5,-21.4,N/A
375,BARRIE-ORO,2020,January,10,5.6,0.5,N/A
376,BARRIE-ORO,2020,January,11,8.6,-3.6,N/A
377,BARRIE-ORO,2020,January,12,-3.5,-11.9,N/A
378,BARRIE-ORO,2020,January,13,-2.8,-8.6,N/A
379,BARRIE-ORO,2020,January,14,-0.4,-4.2,N/A
380,BARRIE-ORO,2020,January,15,1.2,-1.6,N/A
381,BARRIE-ORO,2020,January,16,-1,-15.9,N/A
382,BARRIE-ORO,2020,January,17,-11.3,-22.3,N/A
383,BARRIE-ORO,2020,January,18,-2.2,-11.8,N/A
384,BARRIE-ORO,2020,January,19,-1,-14.5,N/A
385,BARRIE-ORO,2020,January,20,-6,-23.4,N/A
386,BARRIE-ORO,2020,January,21,-2.7,-16.8,N/A
387,BARRIE-ORO,2020,January,22,-0.3,-12.1,N/A
388,BARRIE-ORO,2020,January,23,1.1,-12.2,N/A
389,BARRIE-ORO,2020,January,24,2.2,-4.1,N/A
390,BARRIE-ORO,2020,January,25,2.2,0,N/A
391,BARRIE-ORO,2020,January,26,2,-0.4,N/A
392,BARRIE-ORO,2020,January,27,0.3,-2.4,N/A
393,BARRIE-ORO,2020,January,28,-1.4,-8.5,N/A
394,BARRIE-ORO,2020,January,29,-3.3,-17.1,N/A
395,BARRIE-ORO,2020,January,30,-5.1,-16.8,N/A
396,BARRIE-ORO,2020,January,31,-1.7,-10.8,N/A
397,BARRIE-ORO,2020,February,1,-1.2,-8.4,N/A
398,BARRIE-ORO,2020,February,2,0.6,-6.5,N/A
399,BARRIE-ORO,2020,February,3,1.9,-5.6,N/A
400,BARRIE-ORO,2020,February,4,0.3,-6.8,N/A
401,BARRIE-ORO,2020,February,5,-6.3,-13.1,N/A
402,BARRIE-ORO,2020,February,6,-4.4,-8.3,N/A
403,BARRIE-ORO,2020,February,7,-6.4,-14.8,N/A
404,BARRIE-ORO,2020,February,8,-11.9,-22.9,N/A
405,BARRIE-ORO,2020,February,9,-1,-21.3,N/A
406,BARRIE-ORO,2020,February,10,0.4,-8,N/A
407,BARRIE-ORO,2020,February,11,-0.3,-3.7,N/A
408,BARRIE-ORO,2020,February,12,-0.2,-4.1,N/A
409,BARRIE-ORO,2020,February,13,-2,-21.9,N/A
410,BARRIE-ORO,2020,February,14,-10.6,-27.4,N/A
411,BARRIE-ORO,2020,February,15,-1.8,-15.8,N/A
412,BARRIE-ORO,2020,February,16,1.4,-5.7,N/A
413,BARRIE-ORO,2020,February,17,-2.4,-7.4,N/A
414,BARRIE-ORO,2020,February,18,3.7,-6.3,N/A
415,BARRIE-ORO,2020,February,19,-3.1,-9,N/A
416,BARRIE-ORO,2020,February,20,-8.4,-20.1,N/A
417,BARRIE-ORO,2020,February,21,-1,-21,N/A
418,BARRIE-ORO,2020,February,22,3,-8.7,N/A
419,BARRIE-ORO,2020,February,23,6.8,-9.1,N/A
420,BARRIE-ORO,2020,February,24,5.7,-5.4,N/A
421,BARRIE-ORO,2020,February,25,4.8,-1.2,N/A
422,BARRIE-ORO,2020,February,26,-0.5,-5.7,N/A
423,BARRIE-ORO,2020,February,27,-5.6,-9.9,N/A
424,BARRIE-ORO,2020,February,28,-8.4,-16.9,N/A
425,BARRIE-ORO,2020,February,29,-7.9,-20.9,N/A
426,BARRIE-ORO,2020,March,1,0.8,-19.1,N/A
427,BARRIE-ORO,2020,March,2,6.3,-8,N/A
428,BARRIE-ORO,2020,March,3,2.6,-10.8,N/A
429,BARRIE-ORO,2020,March,4,3.1,-1.3,N/A
430,BARRIE-ORO,2020,March,5,3.1,-5.5,N/A
431,BARRIE-ORO,2020,March,6,1.2,-6.5,N/A
432,BARRIE-ORO,2020,March,7,1.1,-12.3,N/A
433,BARRIE-ORO,2020,March,8,10,-2.6,N/A
434,BARRIE-ORO,2020,March,9,11.7,4.8,N/A
435,BARRIE-ORO,2020,March,10,9.2,-4.8,N/A
436,BARRIE-ORO,2020,March,11,1.7,-7.3,N/A
437,BARRIE-ORO,2020,March,12,5.6,-2.5,N/A
438,BARRIE-ORO,2020,March,13,6.1,-0.5,N/A
439,BARRIE-ORO,2020,March,14,0,-3.4,N/A
440,BARRIE-ORO,2020,March,15,0.6,-7.5,N/A
441,BARRIE-ORO,2020,March,16,3.1,-6.9,N/A
442,BARRIE-ORO,2020,March,17,4,-5,N/A
443,BARRIE-ORO,2020,March,18,3.2,-8,N/A
444,BARRIE-ORO,2020,March,19,6.4,-3.3,N/A
445,BARRIE-ORO,2020,March,20,14.2,-8.1,N/A
446,BARRIE-ORO,2020,March,21,-2.2,-12.2,N/A
447,BARRIE-ORO,2020,March,22,0.6,-9.3,N/A
